experiment_id,belief_idx,state_idx,help_config_idx_local,belief_mus,belief_sigmas,state,help_config,conducted_datetime_stamp
1,0,0,-1,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]",,
2,0,0,0,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-1.1394400542031435, -1.3762708605950777, -1.4986783802926864, -1.9327787819254412, 0.6526061314349646, 1.9790220738301263]",
3,0,0,1,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[0.13985251218104958, -0.9037520250816443, -0.624266833942133, 2.4817728482803374, 1.0926462024989965, 2.765600320829904]",
4,0,0,2,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-2.2200080031075915, -1.712958746153362, 0.7020320324934706, 0.3434526088819355, -1.5597298273287117, -2.0125699168814926]",
5,0,0,3,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-0.5166942513811723, -1.2799899240162156, -1.468510569258568, -2.6128918913924357, 0.7473852521223137, 2.6990192163463127]",
6,0,0,4,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-1.8911001991450997, -2.0913184565956104, -0.5032566349073218, -1.6778578701176696, 1.3731166948656053, 0.6945116702962444]",
7,0,0,5,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-0.17574855729422104, -1.741499225716596, -0.4078180247267394, 2.9835248608735654, 1.0071088356305273, -2.8668235395970174]",
8,0,0,6,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-1.976660543834377, -1.8274583258641919, -1.5862641291286024, -0.7162934499902135, 1.2523837505734137, 0.9836884569645389]",
9,0,0,7,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[0.0019623889478543937, -0.5772626331362629, -1.1308069385195116, 2.6951641215403996, 0.8645123630897543, -2.7351211652403875]",
10,0,0,8,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-0.04152206264537102, -2.151710717397954, 0.23016139969399146, -0.3935411184021839, -1.1770664489448155, -1.9072272341193541]",
11,0,0,9,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7322071446785616, -0.914379281923709], [-0.7510200241825526, -0.8043819044402356], [-0.5459005466729638, -0.6566675531132827], [-0.8667565552025391, -0.8837074420280915]]","[-0.5817136755425658, -1.1828179689097773, -1.100633744964785, -2.5881431591602397, 0.7100006250366416, 2.8388135244508157]",
12,0,1,-1,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7446280371466347, -0.7009172973643645], [-0.6677569748767845, -0.9099639072236829], [-0.6248907351129839, -0.6991292417195426], [-0.8467790816521295, -0.8532881378768472]]",,
13,0,1,0,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7446280371466347, -0.7009172973643645], [-0.6677569748767845, -0.9099639072236829], [-0.6248907351129839, -0.6991292417195426], [-0.8467790816521295, -0.8532881378768472]]","[-1.1394400542031435, -1.3762708605950777, -1.4986783802926864, -1.9327787819254412, 0.6526061314349646, 1.9790220738301263]",
14,0,1,1,"[[-0.732127891955538, -0.7393143055852641], [-0.7193323184754087, -0.8918125757768423], [-0.6291860620511132, -0.5700026578625002], [-0.8711418382622178, -0.8625889633045167]]","[[0.040085807866483636, 0.1105221305975788], [0.03315372206789103, 0.09565434691953964], [0.07960827738201944, 0.12214610877871533], [0.13723838044938816, 0.03322187419489277]]","[[-0.7446280371466347, -0.7009172973643645], [-0.6677569748767845, -0.9099639072236829], [-0.6248907351129839, -0.6991292417195426], [-0.8467790816521295, -0.8532881378768472]]","[0.13985251218104958, -0.9037520250816443, -0.624266833942133, 2.4817728482803374, 1.0926462024989965, 2.765600320829904]",
